Type,SKU,Name,Parent,Published,Is featured?,Visibility in catalog,Short description,Description,Regular price,Categories,Images,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
simple,MACHINE-GEMINI,Machine à café Gemini (kit 400 inclus),,1,0,visible,"Machine à café Gemini grande capacité, kit café 400 inclus.","Location de machine à café Gemini grande capacité avec kit café 400 inclus, parfaite pour les événements à forte affluence. Livraison et installation sous 24h. Prix indicatif HT par jour.",450,Machines à café,https://raw.githubusercontent.com/petitkabyle/EauService/main/machine%20a%20caf%C3%A9%20gemini.png,,,,
simple,FONTAINE-EAU,Fontaine à eau,,1,0,visible,"Fontaine à eau à bonbonne, eau fraîche et tempérée.","Location de fontaine à eau pour vos salons et séminaires. Eau fraîche et tempérée, zéro plastique. Livraison et installation sous 24h. Prix indicatif HT par jour.",105,Fontaines à eau,https://raw.githubusercontent.com/petitkabyle/EauService/main/fontaine_a_eau_grise_everest-removebg-preview.png,,,,
simple,FRIGO-TABLETOP,Réfrigérateur de comptoir (table top),,1,0,visible,"Réfrigérateur de comptoir pour garder vos boissons au frais.","Location de réfrigérateur de comptoir (table top) pour conserver vos boissons parfaitement au frais sur votre stand. Livraison et installation sous 24h. Prix indicatif HT par jour.",95,Réfrigération,https://raw.githubusercontent.com/petitkabyle/EauService/main/table%20top.png,,,,
simple,KIT-150,Kit café 150 (Lavazza / Covim),,1,0,visible,"Kit café 150 pour machine Lavazza ou Covim.","Kit café 150 pour machine Lavazza ou Covim, disponible seul ou en supplément. Prix indicatif HT.",115,Suppléments,https://raw.githubusercontent.com/petitkabyle/EauService/main/kit%20cafe.png,,,,
simple,KIT-NESPRESSO,Kit café Nespresso,,1,0,visible,"Kit café Nespresso, disponible seul ou en supplément.","Kit café Nespresso, disponible seul ou en supplément de votre machine. Prix indicatif HT.",140,Suppléments,https://raw.githubusercontent.com/petitkabyle/EauService/main/kit%20cafe.png,,,,
simple,BONBONNE,Bonbonne d'eau,,1,0,visible,"Bonbonne d'eau (19,90€ HT en complément d'un pack).","Bonbonne d'eau supplémentaire. Tarif : 23,90€ HT à l'unité, ou 19,90€ HT en complément d'un pack. Prix indicatif HT.",23.90,Suppléments,,,,,
simple,GOBELETS-100,Lot de 100 gobelets,,1,0,visible,"Lot de 100 gobelets jetables.","Lot de 100 gobelets pour vos boissons chaudes et fraîches. Prix indicatif HT.",5.90,Suppléments,,,,,
simple,MOUSSEUR-LAIT,Mousseur à lait,,1,0,visible,"Mousseur à lait pour cappuccinos et boissons lactées.","Location de mousseur à lait pour accompagner votre machine à café. Prix indicatif HT par jour.",30,Suppléments,,,,,
simple,BOUILLOIRE,Bouilloire,,1,0,visible,"Bouilloire pour thés et infusions.","Location de bouilloire pour proposer thés et infusions sur votre stand. Prix indicatif HT par jour.",30,Suppléments,https://raw.githubusercontent.com/petitkabyle/EauService/main/bouilloire.png,,,,
simple,CHAISE,Chaise,,1,0,visible,"Chaise pour votre stand ou espace d'accueil.","Location de chaise pour votre événement. Prix indicatif HT par jour.",7,Suppléments,,,,,
simple,TABLE-PLIANTE,Table pliante,,1,0,visible,"Table pliante pratique pour vos stands.","Location de table pliante pour votre événement. Prix indicatif HT par jour.",25,Suppléments,,,,,
simple,VENTILATEUR,Ventilateur,,1,0,visible,"Ventilateur pour rafraîchir votre espace.","Location de ventilateur pour rafraîchir votre stand lors des événements estivaux. Prix indicatif HT par jour.",45,Suppléments,,,,,
